step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command,controller,price_per_kwh_action,pv_kw_action,soc_action,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,tes_set_written
525,9165,2024-04-06 11:15:00,0.0,12.246060921223059,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.246899371990276,25.153121315974,15.95,15.496243052153545,2058.938479461567,6827.455398830289,9935.224441503888,9935.224441503888,0.0,9935.224441503888,72.03037720090319,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
526,9166,2024-04-06 11:30:00,0.0,12.246619893683837,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.247458308650202,25.153120550388707,15.925,15.547624119532886,2059.331109614357,6827.465079068082,9933.500492437823,9933.500492437823,0.0,9933.500492437823,72.01787857017422,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
527,9167,2024-04-06 11:45:00,0.0,12.247178842342535,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.24801722120004,25.15311774014127,15.9,15.598701153049404,2059.7325299242225,6827.473725018786,9931.811864018751,9931.811864018753,0.0,9931.811864018751,72.00563601413594,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
528,9168,2024-04-06 12:00:00,0.0,12.247737766954078,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.248576109549939,25.15311961691878,15.925,15.699187320517561,2060.5269990050724,6827.489173304603,9925.46853892101,9925.46853892101,3433.5,6491.96853892101,47.066771907177326,0.029,0.0,no_mpc,0.029,3433.5,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
529,9169,2024-04-06 12:15:00,0.0,12.248296667395298,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.249134973905615,25.153123797872794,15.95,15.799560568616242,2061.3914081039416,6827.506842928063,9922.229951669915,9922.229951669915,0.0,9922.229951669915,71.93616714960689,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
530,9170,2024-04-06 12:30:00,0.0,12.248855543743131,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.249693814363619,25.153129502604823,15.975,15.89983274735379,2062.2991293556265,6827.525685918937,9919.2028535085,9919.2028535085,0.0,9919.2028535085,71.91422068793662,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
531,9171,2024-04-06 12:45:00,0.0,12.249414396140569,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.250252630989081,25.153138893446854,16.0,15.999996802540622,2063.2498713833074,6827.545361890518,9916.28211298971,9916.28211298971,0.0,9916.28211298971,71.8930453191754,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
532,9172,2024-04-06 13:00:00,0.0,12.249973224679751,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.250811423953627,25.153141535987345,16.0,15.999996802540622,2063.320078816868,6827.562859788987,9922.315757485398,9922.315757485398,2646.6,7275.715757485397,150.971101967822,0.083,0.0,no_mpc,0.083,2646.6,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
533,9173,2024-04-06 13:15:00,0.0,12.250532029478276,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.251370192959472,25.153138173082578,16.0,15.999996802540622,2063.3246233026634,6827.577897501456,9922.529777507933,9922.529777507933,0.0,9922.529777507933,71.93834088693251,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
534,9174,2024-04-06 13:30:00,0.0,12.251090810472755,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.25192893774351,25.15313026273996,16.0,15.999996802540622,2063.328478062621,6827.590652970754,9922.53490478967,9922.53490478967,0.0,9922.53490478967,71.93837805972511,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
