step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
1199,9839,2024-04-13 11:45:00,0.07415077805009257,11.604776352993007,-0.7595334524022082,0.45,0.0,0.0,1.0,1.0,0.0,-2190.171123521486,11.096698980825785,27.899973684930437,19.8,12.505252137004199,2541.5243580595725,9179.603472065079,10860.967858133667,10860.967858133663,0.0,10860.967858133667,78.74201697146908,0.029,-0.7595334524022082
1200,9840,2024-04-13 12:00:00,0.1590282634624373,11.152379355745209,-0.7632597688326279,0.45,0.0,0.0,1.0,1.0,0.0,-2083.7610485795076,10.777566969726065,27.83193920373604,20.6,12.903559786894611,2541.5243580595725,9011.726862405618,10769.558935529745,10769.558935529745,4846.26,5923.298935529745,42.943917282590654,0.029,-0.7632597688326279
1201,9841,2024-04-13 12:15:00,0.19978778139229775,10.935131125179053,-0.7649043811284064,0.45,0.0,0.0,1.0,1.0,0.0,-1933.2655610067004,10.481585426396613,27.82708797175781,21.4,13.286822832070538,2541.5243580595725,8832.112889179221,10739.37176173185,10739.371761731849,0.0,10739.37176173185,77.86044527255592,0.029,-0.7649043811284064
1202,9842,2024-04-13 12:30:00,0.25746348267424096,10.627719637346296,-0.7654992281676861,0.45,0.0,0.0,1.0,1.0,0.0,-1793.6629269548607,10.207075870307044,27.842497460769675,22.2,13.654543415949504,2549.567491317436,8681.091088928346,10724.98540677585,10724.985406775852,0.0,10724.98540677585,77.75614419912492,0.029,-0.7654992281676861
1203,9843,2024-04-13 12:45:00,0.31095519078347295,10.342608833124089,-0.7656797457268377,0.45,0.0,0.0,1.0,1.0,0.0,-1664.166461090146,9.952480130744757,27.865991710609116,23.0,14.006180942611774,2559.203523344527,8546.900940462248,10715.21528520217,10715.215285202172,0.0,10715.21528520217,77.68531081771573,0.029,-0.7656797457268377
1204,9844,2024-04-13 13:00:00,0.3605663894819217,10.078181144061357,0.4323269628882774,0.45,0.0,1.0,1.0,0.0,6501.006624940818,-40.55819470359755,10.874143105467663,28.638049572518625,23.25,14.109309881243094,0.0,0.0,6920.547427210208,6920.547427210207,4532.94,2387.6074272102087,49.542854114611835,0.083,0.4323269628882774
1205,9845,2024-04-13 13:15:00,0.25634154293747347,10.633699576143266,-0.7629024768789253,0.45,0.0,1.0,1.0,0.0,6630.132947651589,-42.80476623353681,11.871074581554813,29.8961065065027,23.5,14.210718432762297,0.0,0.0,6928.922205003203,6928.922205003203,0.0,6928.922205003203,50.23468598627323,0.029,-0.7629024768789253
1206,9846,2024-04-13 13:30:00,0.04756252281019313,11.74649175342167,-0.7625310296666828,0.45,0.0,0.0,1.0,1.0,0.0,-2210.2774143282163,11.532468499451365,29.363448057474056,23.75,14.310384884495736,2567.6042701811784,10556.098552488867,10731.916757125473,10731.916757125475,0.0,10731.916757125473,77.80639648915968,0.029,-0.7625310296666828
1207,9847,2024-04-13 13:45:00,0.05635134412475324,11.699647335815065,-0.7623651829883356,0.45,0.0,0.0,1.0,1.0,0.0,-2232.330943302731,11.181756953429602,28.025488947120454,24.0,14.408290888819414,2570.839312208399,9223.630220638903,10741.269455725223,10741.269455725225,0.0,10741.269455725223,77.87420355400788,0.029,-0.7623651829883356
1208,9848,2024-04-13 14:00:00,0.14286806411709696,11.238513218255873,-0.7612837334768537,0.45,0.0,0.0,1.0,1.0,0.0,-2084.1166228511224,10.856466230621546,27.928999834955317,23.75,14.31367818340203,2568.252278265,9032.31557343167,10749.462228083277,10749.462228083275,3897.24,6852.2222280832775,142.18361123272803,0.083,-0.7612837334768537
1209,9849,2024-04-13 14:15:00,0.1996701025985361,10.935758353149803,-0.7608135187427139,0.45,0.0,0.0,1.0,1.0,0.0,-1970.4761126205158,10.55476468343162,27.888033923471628,23.5,14.217213739408608,2565.7917755078165,8888.495200921725,10751.976372681087,10751.976372681087,0.0,10751.976372681087,77.95182870193788,0.029,-0.7608135187427139
1210,9850,2024-04-13 14:30:00,0.2432039400895157,10.703722999322881,-0.7606504236691752,0.45,0.0,0.0,1.0,1.0,0.0,-1828.1815116764715,10.274948964332426,27.860122326503227,23.25,14.118927030812984,2563.108790401965,8738.603917763032,10755.393983753476,10755.393983753478,0.0,10755.393983753476,77.97660638221271,0.029,-0.7606504236691752
1211,9851,2024-04-13 14:45:00,0.297729510094004,10.413101711198959,-0.7606119112944983,0.45,0.0,0.0,1.0,1.0,0.0,-1696.1868998899504,10.01543050093064,27.839117129410837,23.0,14.018837523344764,2560.377050836217,8602.183891207642,10758.882141378897,10758.882141378897,0.0,10758.882141378897,78.00189552499701,0.029,-0.7606119112944983
1212,9852,2024-04-13 15:00:00,0.3482998148317062,10.143561986947006,0.017527118821506923,0.45,0.0,1.0,1.0,0.0,6486.787906794101,-40.35342465838723,10.9319926556713,28.68657088988595,23.25,14.160880262122678,0.0,0.0,6920.249146644303,6920.249146644303,2919.66,4000.5891466443036,83.0122247928693,0.083,0.017527118821506923
1213,9853,2024-04-13 15:15:00,0.2453911926363526,10.69206494324824,-0.7635471388819978,0.45,0.0,1.0,1.0,0.0,6629.573949118116,-42.798826193253745,11.928489106998466,29.951956712189848,23.5,14.302071326784933,0.0,0.0,6929.440079937992,6929.440079937992,0.0,6929.440079937992,50.23844057955044,0.029,-0.7635471388819978
1214,9854,2024-04-13 15:30:00,0.0367891473187355,11.80391384479114,-0.7638982013416733,0.45,0.0,0.0,1.0,1.0,0.0,-2234.6314604274203,11.586135419508729,29.386261480874754,23.75,14.44239677516638,2570.9952644484474,10610.515869373396,10719.424791878186,10719.424791878186,0.0,10719.424791878186,77.71582974111685,0.029,-0.7638982013416733
1215,9855,2024-04-13 15:45:00,0.045935359551671835,11.75516453358959,-0.7640293256615749,0.45,0.0,0.0,1.0,1.0,0.0,-2257.0009465191583,11.231530420008209,28.030076176082865,24.0,14.581860386015336,2575.588003967812,9249.420566607858,10732.02987352773,10732.02987352773,0.0,10732.02987352773,77.80721658307604,0.029,-0.7640293256615749
1216,9856,2024-04-13 16:00:00,0.13341148975782638,11.288916759590785,-0.7630651082090567,0.45,0.0,0.0,1.0,1.0,0.0,-2147.3371682244947,10.902621182369861,27.94351461945244,24.0,14.538567618259115,2574.482729598648,9086.523350824678,10737.036652850165,10737.036652850165,1673.28,9063.756652850165,188.07295054664093,0.083,-0.7630651082090567
1217,9857,2024-04-13 16:15:00,0.1754197772785179,11.0650125871055,-0.7626391709805189,0.45,0.0,0.0,1.0,1.0,0.0,-1992.2425241458557,10.597571703232411,27.91272767387586,24.0,14.495208572851626,2573.29647771271,8905.692440543127,10738.026122743626,10738.026122743626,0.0,10738.026122743626,77.85068938989129,0.029,-0.7626391709805189
1218,9858,2024-04-13 16:30:00,0.23486248138950175,10.748182974193956,-0.7624904048959074,0.45,0.0,0.0,1.0,1.0,0.0,-1848.372732880751,10.314651586673936,27.899310148229166,24.0,14.451783053883895,2572.1086092008654,8751.328968293066,10739.090219912283,10739.090219912283,0.0,10739.090219912283,77.85840409436406,0.029,-0.7624904048959074
1219,9859,2024-04-13 16:45:00,0.2899930485636697,10.45433705115564,-0.7624537435886487,0.45,0.0,0.0,1.0,1.0,0.0,-1714.9170891822062,10.052254725364847,27.89275445025558,24.0,14.408290888819414,2570.9191100248663,8613.165725838522,10740.398897297537,10740.398897297538,0.0,10740.398897297537,77.86789200540714,0.029,-0.7624537435886487
1220,9860,2024-04-13 17:00:00,0.34112432482903005,10.18180734866127,-0.23523964660371066,0.45,0.0,0.0,1.0,1.0,0.0,-1591.1228141895199,9.808891389925304,27.88735046367782,23.825,14.366601458241288,2552.68340888252,8487.979797688668,10718.646725179871,10718.646725179873,432.18,10286.466725179871,385.74250219424516,0.15,-0.23523964660371066
1221,9861,2024-04-13 17:15:00,0.3885465889998177,9.929046680630972,-0.7621604290317967,0.45,0.0,0.0,1.0,1.0,0.0,-1476.3039729227385,9.583176606724539,27.882417971742054,23.65,14.323585024237358,2517.7457036621695,8372.24231663859,10674.497408952531,10674.497408952531,0.0,10674.497408952531,77.39010621490586,0.029,-0.7621604290317967
1222,9862,2024-04-13 17:30:00,0.4325293934421348,9.694618332953421,-0.5935479960725204,0.45,0.0,0.0,1.0,1.0,0.0,-1369.7983771184026,9.373829309781982,27.87769251671568,23.475,14.279256642737089,2485.3733696547633,8265.003184927293,10633.522158499114,10633.522158499114,0.0,10633.522158499114,77.09303564911858,0.029,-0.5935479960725204
1223,9863,2024-04-13 17:45:00,0.4733227091217308,9.477189960381175,0.8250861224124986,0.45,0.0,1.0,1.0,0.0,6599.4559288526625,-151.62167198531645,10.36370492473385,27.960582534706514,23.3,14.233630745302303,0.0,0.0,6920.695660708566,6920.695660708565,0.0,6920.695660708566,50.1750435401371,0.029,0.8250861224124986
1224,9864,2024-04-13 18:00:00,0.39417751822982816,9.899033827835016,-0.1571927466841187,0.45,0.0,1.0,1.0,0.0,6628.337905880132,-42.69061010537109,11.359122151630782,29.31255479770588,22.975,14.605624067498148,0.0,0.0,6921.59567743319,6921.595677433189,0.0,6921.59567743319,259.5598379037446,0.15,-0.1571927466841187
1225,9865,2024-04-13 18:15:00,0.15122779131988764,11.193955872264999,-0.762960817280028,0.45,0.0,0.0,1.0,1.0,0.0,-1994.5129792991813,11.053707019097457,29.044240328982564,22.65,14.951328118322289,2584.4731737517536,10073.442890227234,10676.714910858502,10676.714910858502,0.0,10676.714910858502,77.40618310372415,0.029,-0.762960817280028
1226,9866,2024-04-13 18:30:00,0.14924977147791743,11.2044987180227,-0.7630729140487745,0.45,0.0,0.0,1.0,1.0,0.0,-2012.2166742962402,10.737724532094148,27.98489456757851,22.325,15.272196294149788,2594.515334861209,8980.586892164045,10693.796581544462,10693.796581544462,0.0,10693.796581544462,77.53002521619736,0.029,-0.7630729140487745
