monitor_csv,monitor_index,window_id,window_type,window_start_index,window_start_timestep,row_index,row_offset_from_window_start,timestep,in_core_window,reward,cost_term,energy_term,comfort_term,tes_pbrs_term,tes_teacher_term,tes_tou_alignment_term,tes_valve_penalty,tes_invalid_action_penalty,tes_shaping_total,TES_SOC,tes_valve_target,raw_tes_action,TES_valve_wrapper_position,price_current_norm,price_hours_to_next_peak_norm,raw_tes_action_column,actual_valve_column
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_3,low_price_charge_prepeak,401,402.0,398,-3,399.0,False,-0.6248211202889736,-0.1026074058072521,-0.5222137144817215,0.0,,,,,,,0.5204878,0.6658000946044922,0.6658000946044922,0.6658001,-1.0,0.5,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_3,low_price_charge_prepeak,401,402.0,399,-2,400.0,False,-0.6245170802822436,-0.1025570953163497,-0.5219599849658939,0.0,,,,,,,0.52104527,0.194704532623291,0.194704532623291,0.4158001,-1.0,0.5,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_3,low_price_charge_prepeak,401,402.0,400,-1,401.0,False,-0.6235030839241001,-0.1023901518916234,-0.5211129320324768,0.0,,,,,,,0.5216859,0.6292469501495361,0.6292469501495361,0.62924695,-1.0,0.4,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_3,low_price_charge_prepeak,401,402.0,401,0,402.0,True,-0.6228106839151589,-0.1022769079047203,-0.5205337760104386,0.0,,,,,,,0.52012193,0.141953706741333,0.141953706741333,0.37924695,-1.0,0.4,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_3,low_price_charge_prepeak,401,402.0,402,1,403.0,True,-0.6226409988972542,-0.1022534133138808,-0.5203875855833734,0.0,,,,,,,0.50994176,0.6327369213104248,0.6327369213104248,0.62924695,-1.0,0.4,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_3,low_price_charge_prepeak,401,402.0,403,2,404.0,True,-0.6225808286069211,-0.1022531830597548,-0.5203276455471663,0.0,,,,,,,0.49100035,0.238579511642456,0.238579511642456,0.37924695,-1.0,0.4,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_3,low_price_charge_prepeak,401,402.0,404,3,405.0,True,-0.6232659047882259,-0.1023799089209152,-0.5208859958673105,0.0,,,,,,,0.46631637,0.6091375350952148,0.6091375350952148,0.60913754,-1.0,0.3,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_3,low_price_charge_prepeak,401,402.0,405,4,406.0,True,-0.6243344829908251,-0.1025712702229074,-0.5217632127679176,0.0,,,,,,,0.44219658,0.2366411685943603,0.2366411685943603,0.35913754,-1.0,0.3,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_3,low_price_charge_prepeak,401,402.0,406,5,407.0,True,-0.6249590024380736,-0.1026862248426525,-0.522272777595421,0.0,,,,,,,0.4279299,0.5807424783706665,0.5807424783706665,0.5807425,-1.0,0.3,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_3,low_price_charge_prepeak,401,402.0,407,6,408.0,True,-0.6254594629516097,-0.1027747020026296,-0.5226847609489801,0.0,,,,,,,0.4246481,0.1127599477767944,0.1127599477767944,0.33074248,-1.0,0.3,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_3,low_price_charge_prepeak,401,402.0,408,7,409.0,True,-0.6246703695221697,-0.1026456132123154,-0.5220247563098542,0.0,,,,,,,0.428919,0.5846313238143921,0.5846313238143921,0.5807425,-1.0,0.2,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_3,low_price_charge_prepeak,401,402.0,409,8,410.0,True,-0.6240316853565572,-0.1025389106382962,-0.5214927747182609,0.0,,,,,,,0.43329585,0.254369854927063,0.254369854927063,0.33074248,-1.0,0.2,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_4,low_price_charge_prepeak,497,498.0,489,-8,490.0,False,-0.6266445452066,-0.1030551422216472,-0.5235894029849527,0.0,,,,,,,0.2875605,0.0927028656005859,0.0927028656005859,0.092702866,-1.0,0.6,tes_valve_target,TES_valve_wrapper_position
