step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command,controller,price_per_kwh_action,pv_kw_action,soc_action,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,tes_set_written
33,175,2024-01-02 19:45:00,1.0,6.140251000233891,0.0,0.0,0.0,1.0,0.0,0.0,6.141449216478257,24.59578434357344,5.0,0.8072998670663233,0.0,0.0,7220.694882533082,7220.694882533083,0.0,7220.694882533082,52.350037898364846,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
34,176,2024-01-02 20:00:00,1.0,6.141050179053062,0.0,0.0,0.0,1.0,0.0,0.0,6.142246547724309,24.589871239486865,4.8,0.518742562535989,0.0,0.0,7185.1022527793775,7185.1022527793775,0.0,7185.1022527793775,341.2923570070204,0.19,0.0,no_control,0.19,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
35,177,2024-01-02 20:15:00,1.0,6.1418478849705895,0.0,0.0,0.0,1.0,0.0,0.0,6.143043589279184,24.58762691221721,4.6,0.23273761692151862,0.0,0.0,7156.950543859882,7156.95054385988,0.0,7156.950543859882,51.88789144298414,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
36,178,2024-01-02 20:30:00,1.0,6.142645071366456,0.0,0.0,0.0,1.0,0.0,0.0,6.143840499667064,24.586573482871863,4.4,-0.36318926117945444,0.0,0.0,7113.077838000028,7113.077838000028,0.0,7113.077838000028,51.56981432550021,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
37,179,2024-01-02 20:45:00,1.0,6.143442047331054,0.0,0.0,0.0,1.0,0.0,0.0,6.144637330347042,24.58592294990008,4.2,-0.6377204950952952,0.0,0.0,7097.555673542339,7097.555673542339,0.0,7097.555673542339,51.45727863318196,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
38,180,2024-01-02 21:00:00,1.0,6.144238917857975,0.0,0.0,0.0,1.0,0.0,0.0,6.145434098729904,24.5854428945724,4.1000000000000005,-0.5689397390099692,0.0,0.0,7101.189043466461,7101.189043466461,0.0,7101.189043466461,280.4969672169252,0.158,0.0,no_control,0.158,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
39,181,2024-01-02 21:15:00,1.0,6.145035717404858,0.0,0.0,0.0,1.0,0.0,0.0,6.146230812183894,24.58505533487403,4.0,-0.5015890466553257,0.0,0.0,7104.893579471348,7104.893579471346,0.0,7104.893579471348,51.51047845116727,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
40,182,2024-01-02 21:30:00,1.0,6.145832458338996,0.0,0.0,0.0,1.0,0.0,0.0,6.147027474707677,24.584729460055147,3.8999999999999995,-0.4356461851689672,0.0,0.0,7108.664229598728,7108.664229598727,0.0,7108.664229598728,51.53781566459078,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
41,183,2024-01-02 21:45:00,1.0,6.146629146299816,0.0,0.0,0.0,1.0,0.0,0.0,6.1478240889685445,24.584450590580023,3.8,-0.37109567904044993,0.0,0.0,7112.498369924926,7112.498369924927,0.0,7112.498369924926,51.56561318195572,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
42,184,2024-01-02 22:00:00,1.0,6.147425784695212,0.0,0.0,0.0,1.0,0.0,0.0,6.148620656999441,24.58420478710245,3.6499999999999995,-0.2820878603590211,0.0,0.0,7118.032147351908,7118.032147351907,0.0,7118.032147351908,147.6991670575521,0.083,0.0,no_control,0.083,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
