step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
9280,9280,2024-04-07 16:00:00,0.50618906942728,9.302012259952598,1.0,1.0,0.0,1.0,301.80708625223525,0.0,9.296082125245453,24.889292340908085,18.0,16.282028474896652,1952.562989138417,6452.309263094273,9857.964847492014,9857.964847492014,1188.66,8669.304847492014,179.8880755854593,0.083,1.0
9281,9281,2024-04-07 16:15:00,0.5116805362639283,9.272742741713262,1.0,1.0,0.0,1.0,302.19220641697257,0.0,9.343110567847695,24.954881718604884,18.0,16.42235549075492,1978.579257976326,6533.32167725208,9874.250363812298,9874.250363812298,0.0,9874.250363812298,71.58831513763917,0.029,1.0
9282,9282,2024-04-07 16:30:00,0.502863079020499,9.31973978882074,1.0,1.0,0.0,1.0,295.28912653093647,0.0,9.389081743129704,24.993577441687346,18.0,16.561972244118664,1989.0152912549952,6562.558950166739,9886.384005840066,9886.384005840066,0.0,9886.384005840066,71.67628404234048,0.029,1.0
9283,9283,2024-04-07 16:45:00,0.49413951721580124,9.36623637323978,1.0,1.0,0.0,1.0,287.3287266690175,0.0,9.433832287983828,25.018628933477064,18.0,16.70089054638424,1996.7207015808501,6582.505643056399,9894.97589600512,9894.975896005122,0.0,9894.97589600512,71.73857524603713,0.029,1.0
9284,9284,2024-04-07 17:00:00,0.4856297353680847,9.411593510488109,1.0,1.0,0.0,1.0,278.72402582587966,0.0,9.477262767399322,25.039288915445805,18.175,16.673911313142334,2000.56853010172,6595.829690193628,9913.597412801053,9913.597412801053,344.64,9568.957412801054,358.8359029800395,0.15,1.0
9285,9285,2024-04-07 17:15:00,0.47735834962614343,9.455679996492655,1.0,1.0,0.0,1.0,270.1678543934177,0.0,9.519380427863219,25.057458498201203,18.35,16.64357490830094,2003.6809152675783,6607.297561029088,9922.251740204498,9922.251740204498,0.0,9922.251740204498,71.9363251164826,0.029,1.0
9286,9286,2024-04-07 17:30:00,0.46933394701998604,9.498450062383474,0.7247183423396737,1.0,0.0,1.0,261.7737630942716,0.0,9.560210020232692,25.073813981550177,18.525,16.609794257651927,2006.4406407203733,6617.729642124282,9928.033275284442,9928.033275284442,0.0,9928.033275284442,71.97824124581221,0.029,0.7247183423396737
9287,9287,2024-04-07 17:45:00,0.46155351590537846,9.539919760224333,0.45645261489213346,1.0,0.0,1.0,253.56982953169435,0.0,9.599780633330342,25.088995902720367,18.7,16.57251072073864,2008.92159704066,6627.367188107969,9933.020786949102,9933.020786949104,0.0,9933.020786949102,72.014400705381,0.029,0.45645261489213346
9288,9288,2024-04-07 18:00:00,0.45401200317303986,9.580116023087697,1.0,1.0,0.0,1.0,246.04314472839565,0.0,9.638196110882456,25.098011537357035,18.525,16.465681886885328,2011.4795004928792,6639.726212574529,9944.246669388243,9944.246669388242,0.0,9944.246669388243,372.9092501020591,0.15,1.0
9289,9289,2024-04-07 18:15:00,0.4466968958230365,9.619105545263215,-0.06276831669090481,1.0,1.0,1.0,418.1185815545421,-1239.0470312781263,9.512924820263542,25.094157201337527,18.35,16.358149062348797,2351.8291117046256,7767.836023259988,10405.524470870914,10405.524470870914,0.0,10405.524470870914,75.44005241381413,0.029,-0.06276831669090481
