step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
23,165,2024-01-02 17:15:00,0.8661996006367051,7.383156128606362,0.761222869823339,1.0,0.0,0.0,-353.929471759612,0.0,7.335287955236833,25.913610264825444,8.5,2.127946797850147,0.0,0.0,7279.194086782159,7279.1940867821595,0.0,7279.194086782159,52.77415712917065,0.029,0.761222869823339
24,166,2024-01-02 17:30:00,0.8704104669906086,7.360712210940056,0.6642714133779791,1.0,0.0,0.0,-697.0433215623509,0.0,7.22924842905687,25.859516239924652,8.25,1.840743679121912,0.0,0.0,7335.494820801025,7335.494820801024,0.0,7335.494820801025,53.18233745080743,0.029,0.6642714133779791
25,167,2024-01-02 17:45:00,0.8856121525491683,7.279687226912933,0.5633339046508625,1.0,0.0,0.0,-856.9421207956392,0.0,7.098707086401904,25.762650591531038,8.0,1.55606381458665,0.0,0.0,7336.198926619204,7336.198926619203,0.0,7336.198926619204,53.18744221798923,0.029,0.5633339046508625
26,168,2024-01-02 18:00:00,0.9079173658065717,7.160800440250973,0.44467630208033865,1.0,0.0,0.0,-956.8032554559177,0.0,6.952868239250902,25.638712634159866,7.25,1.1963342883461126,0.0,0.0,7335.181137663456,7335.181137663454,0.0,7335.181137663456,289.7396549377065,0.158,0.44467630208033865
27,169,2024-01-02 18:15:00,0.9339140657621431,7.022238029487777,0.3147898522285048,1.0,0.0,0.0,-1063.168353533008,0.0,6.7907370095975645,25.495875468871894,6.5,0.8195801905627865,0.0,0.0,7333.885635396145,7333.885635396144,0.0,7333.885635396145,53.17067085662205,0.029,0.3147898522285048
28,170,2024-01-02 18:30:00,0.9628787116530604,6.867856466889188,0.17682232034088116,1.0,0.0,0.0,-1065.2581975953437,0.0,6.628296171281983,25.34163014605765,5.75,0.4264296428307089,0.0,0.0,7289.012693676044,7289.012693676043,0.0,7289.012693676044,52.845342029151325,0.029,0.17682232034088116
29,171,2024-01-02 18:45:00,0.9933277818281032,6.70556292285621,0.032057964399902855,1.0,0.0,0.0,-903.2717735868722,0.0,6.4906882137996105,25.19178082862283,5.0,0.017474188127158098,0.0,0.0,7212.905462019004,7212.905462019004,0.0,7212.905462019004,52.293564599637776,0.029,0.032057964399902855
30,172,2024-01-02 19:00:00,1.0,6.556142957235009,-0.0,1.0,0.0,0.0,-707.6128524448532,0.0,6.383067873686929,25.06163828657907,5.0,0.21653058502083197,0.0,0.0,7215.643423095259,7215.643423095258,0.0,7215.643423095259,342.7430625970248,0.19,-0.0
31,173,2024-01-02 19:15:00,1.0,6.434258690413705,-0.0,0.0,0.0,1.0,0.0,0.0,6.383874966018496,24.763172095521615,5.0,0.4145175756522574,0.0,0.0,7210.4435522609265,7210.4435522609265,0.0,7210.4435522609265,52.27571575389172,0.029,-0.0
32,174,2024-01-02 19:30:00,1.0,6.383471422756981,-0.0,0.0,0.0,1.0,0.0,0.0,6.384669127130305,24.64128813168872,5.0,0.6114385857771828,0.0,0.0,7209.451471469767,7209.451471469767,0.0,7209.451471469767,52.26852316815582,0.029,-0.0
33,175,2024-01-02 19:45:00,1.0,6.38427204944752,-0.0,0.0,0.0,1.0,0.0,0.0,6.385457987609932,24.60480584786549,5.0,0.8072998670663233,0.0,0.0,7223.706343475631,7223.70634347563,0.0,7223.706343475631,52.371870990198325,0.029,-0.0
34,176,2024-01-02 20:00:00,1.0,6.385063560220062,-0.0,0.0,0.0,1.0,0.0,0.0,6.386245237851849,24.5931326839384,4.8,0.518742562535989,0.0,0.0,7185.912030423753,7185.912030423752,0.0,7185.912030423753,341.33082144512827,0.19,-0.0
35,177,2024-01-02 20:15:00,1.0,6.385851615582105,-0.0,0.0,0.0,1.0,0.0,0.0,6.387031949916,24.589014378239337,4.6,0.23273761692151862,0.0,0.0,7157.174808517539,7157.174808517538,0.0,7157.174808517539,51.889517361752155,0.029,-0.0
36,178,2024-01-02 20:30:00,1.0,6.386638596735518,-0.0,0.0,0.0,1.0,0.0,0.0,6.3878184502675595,24.587316659882514,4.4,-0.36318926117945444,0.0,0.0,7113.140971834914,7113.140971834914,0.0,7113.140971834914,51.57027204580313,0.029,-0.0
37,179,2024-01-02 20:45:00,1.0,6.387425202935487,-0.0,0.0,0.0,1.0,0.0,0.0,6.388604843508123,24.58642003487331,4.2,-0.6377204950952952,0.0,0.0,7097.580027694949,7097.580027694948,0.0,7097.580027694949,51.45745520078839,0.029,-0.0
38,180,2024-01-02 21:00:00,1.0,6.388211649736826,-0.0,0.0,0.0,1.0,0.0,0.0,6.3893911642571695,24.58582884795315,4.1000000000000005,-0.5689397390099692,0.0,0.0,7101.2024458919395,7101.202445891939,0.0,7101.2024458919395,280.4974966127316,0.158,-0.0
39,181,2024-01-02 21:15:00,1.0,6.388998006712928,-0.0,0.0,0.0,1.0,0.0,0.0,6.390177425715635,24.585381200968875,4.0,-0.5015890466553257,0.0,0.0,7104.902819359896,7104.902819359895,0.0,7104.902819359896,51.51054544035925,0.029,-0.0
