step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
1616,18992,2024-07-17 20:00:00,0.0,16.983382968423452,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.983940107448863,25.552293631852905,24.95,24.15883361862182,2289.3077753971174,6832.894993936992,9978.890113551466,9978.890113551468,0.0,9978.890113551466,498.9445056775733,0.2,0.0
1617,18993,2024-07-17 20:15:00,0.0,16.983754550018688,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.984311871258917,25.58484412051021,24.9,24.076890035392324,2282.6065006794215,6823.909226406495,9973.010047260195,9973.010047260197,0.0,9973.010047260195,72.30432284263642,0.029,0.0
1618,18994,2024-07-17 20:30:00,0.0,16.984125990699976,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.98468503128953,25.624518098550045,24.85,23.994915493040807,2277.72713012742,6820.266451319717,9969.219624285857,9969.219624285859,0.0,9969.219624285857,72.27684227607247,0.029,0.0
1619,18995,2024-07-17 20:45:00,0.0,16.984498452617217,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.985059896558447,25.66743308892784,24.8,23.91291868676161,2273.6086023971816,6818.8091803655725,9966.357327738004,9966.357327738002,0.0,9966.357327738004,72.25609062610053,0.029,0.0
1620,18996,2024-07-17 21:00:00,0.0,16.984872465289275,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.985436607611025,25.648728907484898,24.85,23.994915493040807,2286.99656339698,6849.492289421676,9976.01843070138,9976.018430701382,0.0,9976.01843070138,411.510760266432,0.165,0.0
1621,18997,2024-07-17 21:15:00,0.0,16.985248253438833,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.985812490834583,25.60338467166117,24.9,24.076890035392324,2295.4327507595754,6863.735731758593,9983.733342565843,9983.733342565843,0.0,9983.733342565843,72.38206673360237,0.029,0.0
1622,18998,2024-07-17 21:30:00,0.0,16.985624550572044,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.98618639040425,25.547227907908802,24.95,24.15883361862182,2301.014456625909,6869.328048062333,9988.195540640229,9988.195540640232,0.0,9988.195540640229,72.41441766964167,0.029,0.0
1623,18999,2024-07-17 21:45:00,0.0,16.985999441980756,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.9865578372708,25.486631727485808,25.0,24.240745212351978,2305.427545687478,6871.335863360225,9991.265235619716,9991.265235619716,0.0,9991.265235619716,72.43667295824294,0.029,0.0
1624,19000,2024-07-17 22:00:00,0.0,16.98637211518833,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.986926638922,25.45511980470375,25.0,24.240745212351978,2300.736173045309,6856.604046495726,9987.561644422862,9987.561644422862,0.0,9987.561644422862,207.24190412177438,0.083,0.0
1625,19001,2024-07-17 22:15:00,0.0,16.986742239435248,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.98729405738099,25.43623699551963,25.0,24.240745212351978,2298.3653485225122,6849.538566419168,9984.706513290312,9984.706513290312,0.0,9984.706513290312,72.38912222135477,0.029,0.0
