step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
7989,7989,2024-03-25 05:15:00,0.6390282475113143,8.593979440764695,0.2990710069544609,1.0,0.0,1.0,-275.0148220260725,0.0,8.532693351667316,25.391914419865245,2.0,0.9491374205603191,366.26085840081316,1218.0606386917993,8615.159513177781,8615.159513177783,0.0,8615.159513177781,62.45990647053892,0.029,0.2990710069544609
7990,7990,2024-03-25 05:30:00,0.6466622771318751,8.553290062887106,0.25639965238215906,1.0,0.0,1.0,-286.2901950543481,0.0,8.489520261761527,25.386742372681013,2.0,0.825048888824381,321.29588485994685,1068.5222342084828,8570.14284232584,8570.14284232584,0.0,8570.14284232584,62.133535606862345,0.029,0.25639965238215906
7991,7991,2024-03-25 05:45:00,0.6546012893470322,8.510975127780318,0.21201072763361822,1.0,0.0,1.0,-297.749773610493,0.0,8.444592231983082,25.38137209634248,2.0,0.7008712788256939,275.0676153716612,914.7825315703785,8523.861200411411,8523.86120041141,0.0,8523.861200411411,61.79799370298274,0.029,0.21201072763361822
7992,7992,2024-03-25 06:00:00,0.66286693891753,8.466919215569565,0.30758968523650776,1.0,0.0,1.0,-238.50017128882396,0.0,8.408752202123537,25.376259009454426,2.325,1.2284675379665058,379.55401753483864,1262.2692226385536,8628.292165986575,8628.292165986575,53.16,8575.132165986575,62.16970820340267,0.029,0.30758968523650776
7993,7993,2024-03-25 06:15:00,0.6704384794534749,8.426562904512979,0.4656370254169078,1.0,0.0,1.0,-153.51913636156863,0.0,8.385945086511109,25.372138378893336,2.65,1.76175697379594,543.7316304917397,1808.2688387873648,8792.417138563582,8792.417138563582,0.0,8792.417138563582,63.74502425458597,0.029,0.4656370254169078
7994,7994,2024-03-25 06:30:00,0.6759326299381723,8.397279082429542,0.6487144405142748,1.0,0.0,1.0,-61.29012505970678,0.0,8.377281372291465,25.36951573322586,2.9749999999999996,2.300656565625879,729.9361173389229,2427.5224417157824,8978.579435811338,8978.579435811338,0.0,8978.579435811338,65.09470090963221,0.029,0.6487144405142748
7995,7995,2024-03-25 06:45:00,0.6788767720399761,8.381586805026927,0.8422663411325672,1.0,0.0,1.0,32.068283396586935,0.0,8.382933481641397,25.36865483325708,3.3,2.8450654486725075,925.6035008953514,3078.246461821359,9174.219901112701,9174.219901112701,0.0,9174.219901112701,66.51309428306709,0.029,0.8422663411325672
7996,7996,2024-03-25 07:00:00,0.6791510945733739,8.380124665923917,0.9355590305416046,1.0,0.0,1.0,71.2476385128584,0.0,8.394593077729471,25.36932102097261,3.3749999999999996,2.918623260600855,1012.3604322964658,3366.7708860112284,9260.967331668891,9260.967331668891,586.32,8674.647331668892,62.89119315459947,0.029,0.9355590305416046
7997,7997,2024-03-25 07:15:00,0.6775236695101188,8.388798841511067,0.9867159584642842,1.0,0.0,1.0,90.26040201747436,0.0,8.40916767654939,25.371002151116603,3.45,2.9921777940411665,1058.9291197316895,3521.642704441558,9307.540958925852,9307.540958925852,0.0,9307.540958925852,67.47967195221243,0.029,0.9867159584642842
7998,7998,2024-03-25 07:30:00,0.6750610075499565,8.401924829758732,1.0,1.0,0.0,1.0,102.61058559127268,0.0,8.425635591036722,25.373330268123286,3.5250000000000004,3.0657323160184133,1092.6879275200195,3633.913164232616,9341.313571154058,9341.313571154058,0.0,9341.313571154058,67.72452339086692,0.029,1.0
7999,7999,2024-03-25 07:45:00,0.6721478684677707,8.417451861066782,1.0,1.0,0.0,1.0,112.6123054863124,0.0,8.443636682193974,25.376097117192597,3.6,3.139285198526116,1122.3653330272323,3732.6102504150335,9371.009984847507,9371.009984847506,0.0,9371.009984847507,67.93982239014443,0.029,1.0
8000,8000,2024-03-25 08:00:00,0.668913500914264,8.434691040126973,1.0,1.0,0.0,1.0,84.41109592456205,0.0,8.45731276829061,25.378966632735736,3.725,2.877964738925996,1070.9933285281334,3561.7642121999074,9319.660418630698,9319.660418630696,1633.02,7686.640418630697,288.24901569865114,0.15,1.0
