step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
521,521,2024-01-06 10:15:00,1.0,6.421845352730666,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.423064278988239,25.228413710999263,6.5,4.221312118344686,2012.6029828233006,6693.241765976614,10267.237076952513,10267.237076952513,0.0,10267.237076952513,74.43746880790573,0.029,0.0
522,522,2024-01-06 10:30:00,1.0,6.422657974181146,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.423876861525759,25.22790777073301,6.25,3.9940804572030104,1923.721929108468,6397.653224170126,10178.357270673083,10178.357270673083,0.0,10178.357270673083,73.79309021237985,0.029,0.0
523,523,2024-01-06 10:45:00,1.0,6.423470573171378,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.424689387336368,25.22725264624161,6.0,3.7667784192476828,1820.5532948153777,6054.548986581951,10075.188570904294,10075.188570904294,0.0,10075.188570904294,73.04511713905615,0.029,0.0
524,524,2024-01-06 11:00:00,1.0,6.424283127341017,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.425501849976186,25.226632481933017,5.9,3.48799867592374,1697.5024371000825,5645.323149579614,9952.136162938858,9952.136162938858,1061.88,8890.256162938858,184.47281538098133,0.083,0.0
525,525,2024-01-06 11:15:00,1.0,6.425095621601164,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.4263142509585265,25.226055968041663,5.8,3.210492859024636,1566.844486563243,5210.798676022844,9821.476420615709,9821.476420615709,0.0,9821.476420615709,71.20570404946389,0.029,0.0
526,526,2024-01-06 11:30:00,1.0,6.425908053392983,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.4271265921721366,25.22553171522524,5.699999999999999,2.9342903133823177,1433.7149275667257,4768.054462600514,9688.345153957009,9688.345153957009,0.0,9688.345153957009,70.24050236618832,0.029,0.0
527,527,2024-01-06 11:45:00,1.0,6.426720424476468,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.427938875877761,25.22506714390462,5.6,2.659426701892692,1299.988284791619,4323.32454900843,9554.616911169365,9554.616911169365,0.0,9554.616911169365,69.2709726059779,0.029,0.0
528,528,2024-01-06 12:00:00,1.0,6.427532736939619,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.428751104656687,25.2246942672195,5.699999999999999,2.6449442122987006,1242.5702582972228,4132.371471659252,9497.1974156788,9497.197415678798,1297.14,8200.0574156788,59.45041626367131,0.029,0.0
529,529,2024-01-06 12:15:00,1.0,6.428344993171021,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.4295632824733815,25.22439720823912,5.8,2.6288784193238515,1216.4556497536926,4045.5230519274633,9471.081711469471,9471.08171146947,0.0,9471.081711469471,68.66534240815366,0.029,0.0
530,530,2024-01-06 12:30:00,1.0,6.4291571965099985,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.430375412606111,25.224162990615177,5.9,2.611207795520886,1201.336296633746,3995.241159949437,9455.961507318832,9455.961507318832,0.0,9455.961507318832,68.55572092806153,0.029,0.0
531,531,2024-01-06 12:45:00,1.0,6.429969350460872,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.431187497772285,25.223980433397642,6.0,2.591908816813071,1189.786154853468,3956.829266482867,9444.410716429611,9444.41071642961,0.0,9444.410716429611,68.47197769411468,0.029,0.0
532,532,2024-01-06 13:00:00,1.0,6.43078145809278,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.431999540206068,25.223803220710735,5.75,2.456058416955617,1145.157177153801,3808.408271352863,9399.781256561066,9399.781256561064,1354.68,8045.101256561065,166.9358510736421,0.083,0.0
533,533,2024-01-06 13:15:00,1.0,6.431593521900605,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.432811540140204,25.223640727312016,5.5,2.3181332854682823,1086.0478132292317,3611.8303735971713,9340.671162666176,9340.671162666176,0.0,9340.671162666176,67.71986592932979,0.029,0.0
534,534,2024-01-06 13:30:00,1.0,6.432405543085192,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.433623498212519,25.223491467969193,5.25,2.17815993050186,1020.9497808534549,3395.3361753379504,9275.572414772314,9275.572414772314,0.0,9275.572414772314,67.24790000709928,0.029,0.0
535,535,2024-01-06 13:45:00,1.0,6.433217522083448,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.434435414996631,25.22335236296117,5.0,2.036167769714666,952.9706588026181,3169.2604401788963,9207.592616833595,9207.592616833594,0.0,9207.592616833595,66.75504647204357,0.029,0.0
536,536,2024-01-06 14:00:00,1.0,6.434029459505598,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.435247290933056,25.223233020290927,4.875,1.894479402917573,883.9445982926823,2939.702939226661,9138.565916008924,9138.565916008924,753.12,8385.445916008923,173.99800275718516,0.083,0.0
537,537,2024-01-06 14:15:00,1.0,6.434841355910988,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.436059126877467,25.22312241588623,4.75,1.7532410513797367,814.6260759327522,2709.1728083588173,9069.246917347367,9069.246917347367,0.0,9069.246917347367,65.75204015076842,0.029,0.0
538,538,2024-01-06 14:30:00,1.0,6.435653211805996,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.436870923209135,25.223016660579965,4.625,1.6124559036121098,745.298659570698,2478.613099026173,8999.919074433537,8999.919074433536,0.0,8999.919074433537,65.24941328964314,0.029,0.0
539,539,2024-01-06 14:45:00,1.0,6.436465027958915,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.437682680139265,25.22291439387092,4.5,1.4721161410724768,676.0663783442534,2248.369777211838,8930.686386781943,8930.686386781943,0.0,8930.686386781943,64.74747630416908,0.029,0.0
540,540,2024-01-06 15:00:00,1.0,6.437276804619359,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.438494397820268,25.222834756493818,4.525,1.4885782601472215,652.6798480882106,2170.5940298801725,8907.299459829226,8907.299459829226,220.26,8687.039459829226,180.25606879145644,0.083,0.0
541,541,2024-01-06 15:15:00,1.0,6.438088541922374,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.439306077231631,25.22277084550241,4.55,1.505019879012646,648.8821285305679,2157.964089760029,8903.501515647522,8903.501515647522,0.0,8903.501515647522,64.55038598844453,0.029,0.0
542,542,2024-01-06 15:30:00,1.0,6.438900240434956,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.440117719054516,25.222780786244016,4.574999999999999,1.5214326175379271,652.4700673789124,2169.896369677363,8907.089291479993,8907.089291479993,0.0,8907.089291479993,64.57639736322996,0.029,0.0
543,543,2024-01-06 15:45:00,1.0,6.439711901042586,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.44092932648168,25.222892268716052,4.6,1.53782219165612,658.860589220074,2191.1490996289235,8913.47969337668,8913.47969337668,0.0,8913.47969337668,64.62272777698092,0.029,0.0
544,544,2024-01-06 16:00:00,1.0,6.440523525687014,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.4417409039022395,25.223036335170946,4.475,1.4847803083109294,645.975284695798,2148.2969031722596,8900.594468349253,8900.594468349253,57.48,8843.114468349253,183.49462521824702,0.083,0.0
545,545,2024-01-06 16:15:00,1.0,6.441335118133312,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.44255245272544,25.223173529877585,4.35,1.4309813703801888,624.5899516849302,2077.1764659527616,8879.209323692983,8879.209323692983,0.0,8879.209323692983,64.37426759677413,0.029,0.0
546,546,2024-01-06 16:30:00,1.0,6.442146681214949,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.443363972655554,25.2232823178504,4.225,1.3764303654496228,599.766248298762,1994.6211633379178,8854.385897001424,8854.385897001424,0.0,8854.385897001424,64.19429775326033,0.029,0.0
547,547,2024-01-06 16:45:00,1.0,6.4429582155950795,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.444175462466337,25.223360356067307,4.1,1.3211348431210794,573.4019062883455,1906.9422139461858,8828.021813852734,8828.021813852734,0.0,8828.021813852734,64.00315815043233,0.029,0.0
548,548,2024-01-06 17:00:00,1.0,6.443769720462381,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.444986920830349,25.223388236254568,3.8999999999999995,1.257673836645521,544.0473664136939,1809.3188704517706,8798.667457046588,8798.667457046588,0.0,8798.667457046588,347.54736455334023,0.158,0.0
549,549,2024-01-06 17:15:00,1.0,6.444581194579656,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.445798345581565,25.22336954428923,3.6999999999999997,1.1913376746144688,512.592014785528,1704.708932437183,8767.212123951547,8767.212123951545,0.0,8767.212123951547,63.56228789864872,0.029,0.0
550,550,2024-01-06 17:30:00,1.0,6.445392636142605,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.446609734709,25.22332220905239,3.4999999999999996,1.1221776650553048,479.4640481552817,1594.5364385256444,8734.084042070592,8734.084042070594,0.0,8734.084042070592,63.32210930501179,0.029,0.0
551,551,2024-01-06 17:45:00,1.0,6.446204043047518,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.447421086976469,25.223261445057155,3.3,1.050242736981234,444.8396259661933,1479.3872358777812,8699.459380407718,8699.459380407718,0.0,8699.459380407718,63.071080507955955,0.029,0.0
552,552,2024-01-06 18:00:00,1.0,6.44701541375322,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.448232401805267,25.223182212135217,2.9749999999999996,1.1053684131643127,446.6659882633415,1485.4611036556819,8701.285427152035,8701.285427152035,0.0,8701.285427152035,343.7007743725054,0.158,0.0
553,553,2024-01-06 18:15:00,1.0,6.447826747295326,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.4490436783989225,25.22309798548377,2.65,1.147928221985651,460.5831494443257,1531.7449088946657,8715.202101522733,8715.202101522733,0.0,8715.202101522733,63.18521523603982,0.029,0.0
554,554,2024-01-06 18:30:00,1.0,6.448638043030441,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.44985491654327,25.223007798138422,2.325,1.1783492068362753,475.370678436929,1580.9232652389644,8729.989103541677,8729.989103541679,0.0,8729.989103541677,63.29242100067716,0.029,0.0
555,555,2024-01-06 18:45:00,1.0,6.4494493003994044,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.450666115982376,25.222916117180944,2.0,1.197038001518586,486.89385988737746,1619.2454977007656,8741.511753734141,8741.511753734141,0.0,8741.511753734141,63.37596021457253,0.029,0.0
